update,steps,avg_return,win_rate,value_loss,entropy
31,63488,-0.3428705930709839,0.95,0.10990547388792038,4.117023944854736
32,65536,-0.3462505042552948,0.9214285714285714,0.005811113864183426,4.112085342407227
33,67584,-0.33975595235824585,0.9464285714285714,0.007404284551739693,4.101794242858887
34,69632,-0.34389662742614746,0.9130952380952382,0.006299195811152458,4.100032329559326
35,71680,-0.3364012837409973,0.9130952380952382,0.10050497949123383,4.095062732696533
36,73728,-0.3316248953342438,0.9380952380952381,0.004011720418930054,4.086174011230469
37,75776,-0.31830406188964844,0.9666666666666666,0.008425126783549786,4.083042144775391
38,77824,-0.3182868957519531,0.9666666666666666,0.006151214241981506,4.072957515716553
39,79872,-0.30872297286987305,1.0,0.007884213700890541,4.0710649490356445
40,81920,-0.3035469055175781,0.9666666666666666,0.00492026237770915,4.067035675048828
41,83968,-0.29911231994628906,0.9666666666666666,0.00629708357155323,4.074305534362793
42,86016,-0.28505998849868774,0.9416666666666667,0.00776596087962389,4.082507133483887
43,88064,-0.29650580883026123,0.8916666666666666,0.0057161785662174225,4.0703911781311035
44,90112,-0.2951367497444153,0.8916666666666666,0.006636559497565031,4.075547218322754
45,92160,-0.28315696120262146,0.9027777777777779,0.10476697981357574,4.076299667358398
46,94208,-0.2586592435836792,0.9027777777777779,0.006638297811150551,4.079102039337158
47,96256,-0.282916784286499,0.9277777777777778,0.005267440341413021,4.081288814544678
48,98304,-0.28467968106269836,0.9555555555555555,0.007998226210474968,4.077955722808838
49,100352,-0.30412933230400085,0.9055555555555556,0.11155238002538681,4.069551467895508
50,2048,-0.2714821696281433,0.8333333333333334,0.007399201858788729,4.069763660430908
51,4096,-0.26025140285491943,0.7803030303030303,0.010253578424453735,4.070584297180176
52,6144,-0.2516491115093231,0.8202020202020203,0.008860371075570583,4.075015068054199
53,8192,-0.23544670641422272,0.845920745920746,0.10607174783945084,4.070788383483887
54,10240,-0.22982153296470642,0.8767365967365969,0.007753358688205481,4.070446014404297
55,12288,-0.23541444540023804,0.7272727272727273,0.007844224572181702,4.0673828125
56,14336,-0.2556542158126831,0.6818181818181819,0.006298551335930824,4.063641548156738
57,16384,-0.24614670872688293,0.787878787878788,0.008164042606949806,4.047821521759033
58,18432,-0.23347881436347961,0.8409090909090909,0.007083069067448378,4.058047294616699
59,20480,-0.2334601879119873,0.8545454545454545,0.00783760566264391,4.053222179412842
